time current
1.499999949999999961e-11 0.000000000000000000e+00
4.499999679999999785e-11 0.000000000000000000e+00
7.499999929999999587e-11 0.000000000000000000e+00
1.049999950000000029e-10 0.000000000000000000e+00
1.349999969999999909e-10 0.000000000000000000e+00
1.649999999999999989e-10 0.000000000000000000e+00
1.949999879999999918e-10 0.000000000000000000e+00
2.249999909999999998e-10 0.000000000000000000e+00
2.549999929999999878e-10 0.000000000000000000e+00
2.849999960000000216e-10 0.000000000000000000e+00
3.149999980000000097e-10 0.000000000000000000e+00
3.450000009999999918e-10 0.000000000000000000e+00
3.749999759999999837e-10 0.000000000000000000e+00
4.049999780000000234e-10 0.000000000000000000e+00
4.349999800000000114e-10 0.000000000000000000e+00
4.649999829999999936e-10 0.000000000000000000e+00
4.949999849999999816e-10 1.446962840000000032e-28
5.249999880000000154e-10 3.603636409999999998e-27
5.549999900000000035e-10 4.639877700000000113e-26
5.849999930000000373e-10 4.116181540000000150e-25
6.149999950000000253e-10 2.828764489999999668e-24
6.449999979999999558e-10 1.605261419999999984e-23
6.750000000000000472e-10 7.829881200000000113e-23
7.050000029999999777e-10 3.373932339999999926e-22
7.349999500000000309e-10 1.310148880000000187e-21
7.649999520000000189e-10 4.654012570000000385e-21
7.949999549999999493e-10 1.530168459999999991e-20
8.249999570000000408e-10 4.700199860000000169e-20
8.549999599999999712e-10 1.359152870000000006e-19
8.849999619999999593e-10 3.723380849999999759e-19
9.149999649999999931e-10 9.714656229999999635e-19
9.449999669999999811e-10 2.424913880000000004e-18
9.749999699999999116e-10 5.813340150000000072e-18
1.004999970000000015e-09 1.342989269999999879e-17
1.034999969999999911e-09 2.998532369999999804e-17
1.064999980000000059e-09 6.487134179999999802e-17
1.094999979999999955e-09 1.362996050000000130e-16
1.124999980000000059e-09 2.786855389999999931e-16
1.154999979999999955e-09 5.555202059999999849e-16
1.184999990000000103e-09 1.081330310000000103e-15
1.214999989999999999e-09 2.058392980000000159e-15
1.244999990000000102e-09 3.836963540000000085e-15
1.274999989999999999e-09 7.012328700000000330e-15
1.304999999999999940e-09 1.257857060000000028e-14
1.335000000000000043e-09 2.216834469999999997e-14
1.364999999999999939e-09 3.842116040000000123e-14
1.395000000000000042e-09 6.554098360000000358e-14
1.425000009999999983e-09 1.101290830000000010e-13
1.454999900000000010e-09 1.824118380000000121e-13
1.484999899999999907e-09 2.980286920000000016e-13
1.514999900000000010e-09 4.806051929999999846e-13
1.544999909999999951e-09 7.654138819999999620e-13
1.574999910000000054e-09 1.204527360000000090e-12
1.604999909999999950e-09 1.873996620000000121e-12
1.634999910000000053e-09 2.883749879999999876e-12
1.664999919999999994e-09 4.391116810000000232e-12
1.694999920000000098e-09 6.619127989999999858e-12
1.724999919999999994e-09 9.881069050000000685e-12
1.754999920000000097e-09 1.461312840000000145e-11
1.784999930000000038e-09 2.141745809999999840e-11
1.814999929999999935e-09 3.111851749999999872e-11
1.844999930000000038e-09 4.483620770000000196e-11
1.874999930000000141e-09 6.408011619999999598e-11
1.904999940000000082e-09 9.087001979999999723e-11
1.934999940000000185e-09 1.278889630000000126e-10
1.964999939999999875e-09 1.786762399999999980e-10
1.994999939999999978e-09 2.478691970000000141e-10
2.024999949999999919e-09 3.415039639999999975e-10
2.054999950000000022e-09 4.673874620000000223e-10
2.084999950000000125e-09 6.355543870000000237e-10
2.114999949999999815e-09 8.588249000000000500e-10
2.144999960000000169e-09 1.153481749999999970e-09
2.174999959999999859e-09 1.540086950000000065e-09
2.204999959999999962e-09 2.044461710000000163e-09
2.234999960000000065e-09 2.698853809999999851e-09
2.264999970000000006e-09 3.543323629999999960e-09
2.294999970000000110e-09 4.627375820000000197e-09
2.324999969999999799e-09 6.011874109999999741e-09
